name,parent,value
Origin,,
MSFT,Origin,98572123
AAPL,Origin,6026075
ET,Origin,5537043
AMZN,Origin,4994555
NVDA,Origin,4742542
TSLA,Origin,4646534
AM,Origin,4475531
SHLX,Origin,4411031
DIS,Origin,4336036
GOOGL,Origin,4224022
TDDXX,Origin,4217544
USAC,Origin,4163041
CRM,Origin,4151019
PYPL,Origin,3600529
NFLX,Origin,3525524
ENLC,Origin,3332528
MMP,Origin,3026544
PBFX,Origin,2834025
AB,Origin,2625004
FB,Origin,2117046
MPLX,Origin,2028516
SPY,Origin,1822510
ENBL,Origin,1730524
PAIDX,Origin,1500002
CAPL,Origin,1447509
PAA,Origin,1302014
NS,Origin,1300008
CRWD,Origin,1280011
NTAP,Origin,1214066
RBLX,Origin,1213510
SPG,Origin,1094514
C,Origin,1086017
NGL,Origin,1065032
GOOG,Origin,1015028
JNJ,Origin,1009536
GNRC,Origin,1000027
PXD,Origin,973008
BRK.B,Origin,963555
EPD,Origin,935520
SRLP,Origin,860511
IWN,Origin,856009
TXN,Origin,853019
NFG,Origin,832021
ACN,Origin,808527
CEQP,Origin,803011
ADBE,Origin,802521
GLP,Origin,778511
SPH,Origin,778511
T,Origin,760538
CVS,Origin,743016
JPM,Origin,740033
COST,Origin,737531
PSXP,Origin,722506
NEE,Origin,693028
LUV,Origin,686017
AXP,Origin,670017
CVX,Origin,667021
DGRO,Origin,654510
GEL,Origin,641018
HD,Origin,623534
FDX,Origin,593014
HON,Origin,578515
EMR,Origin,571011
RTX,Origin,554015
BPMP,Origin,550006
UNH,Origin,546014
SQ,Origin,504017
VIG,Origin,495010
ROK,Origin,482006
DE,Origin,470514
UBER,Origin,467513
V,Origin,461037
MUR,Origin,455506
TIP,Origin,439009
MU,Origin,431008
WES,Origin,428509
GSAH,Origin,425003
BSX,Origin,420022
HSBC,Origin,407502
MS,Origin,394517
BABA,Origin,392526
PBF,Origin,391003
DXC,Origin,390007
VZ,Origin,375523
WORK,Origin,375001
FTTGLX,Origin,375001
SNOXX,Origin,375001
KMPR,Origin,375001
ETRN,Origin,375001
MSM,Origin,375001
USDP,Origin,371011
LMT,Origin,370017
MDT,Origin,368516
MA,Origin,355026
Z,Origin,346014
VSAT,Origin,345010
MRK,Origin,333021
NBLX,Origin,326511
CW,Origin,322009
CB,Origin,303514
DCP,Origin,298006
FMS,Origin,296008
ABT,Origin,292519
GDDY,Origin,290007
STAY,Origin,290005
ORLY,Origin,289010
OSW,Origin,288506
GPN,Origin,287013
AAL,Origin,284518
XOM,Origin,283524
FCX,Origin,280008
LIN,Origin,280008
WMB,Origin,279511
FTNT,Origin,278008
BX,Origin,274522
PGR,Origin,265524
SBUX,Origin,265027
DOV,Origin,263507
TMO,Origin,260515
COIN,Origin,259511
CMCSA,Origin,257026
CDNS,Origin,255508
NVEE,Origin,255506
DG,Origin,253011
FDRR,Origin,250002
KNOP,Origin,250002
PG,Origin,249522
TJX,Origin,248024
AMN,Origin,244513
INTC,Origin,244016
ROKU,Origin,244016
D,Origin,242515
ABBV,Origin,242515
WLTW,Origin,241005
IQV,Origin,239506
MMC,Origin,239009
GSLC,Origin,235508
ORCC,Origin,233004
SGIOY,Origin,231505
AHCO,Origin,231008
WYNN,Origin,228014
ORCL,Origin,220510
TWTR,Origin,220013
CAT,Origin,217518
KO,Origin,216027
ICLR,Origin,215503
ALGN,Origin,215006
OLLI,Origin,215006
UNICY,Origin,215006
GSK,Origin,211515
PFE,Origin,209517
WW,Origin,207502
SCHD,Origin,207502
WPX,Origin,207502
ASXC,Origin,207502
MASI,Origin,207502
NULG,Origin,207502
PLYA,Origin,207502
FSD,Origin,207502
HHC,Origin,207005
MO,Origin,203514
AVGO,Origin,202510
MTCH,Origin,201516
BKNG,Origin,201019
CHL,Origin,199004
ALC,Origin,199004
ITUB,Origin,199004
DASTY,Origin,198505
WMT,Origin,195016
EL,Origin,193018
FIVE,Origin,191003
ADYEY,Origin,191003
UL,Origin,186011
GLOP,Origin,185514
AMD,Origin,185017
JKHY,Origin,183002
DXCM,Origin,183002
THR,Origin,183002
WFC,Origin,176519
GWRE,Origin,175001
GDRX,Origin,175001
ENB,Origin,175001
IAC,Origin,175001
WK,Origin,175001
BVALX,Origin,175001
IGV,Origin,175001
SPYG,Origin,175001
FTSM,Origin,175001
AVLR,Origin,175001
FQAL,Origin,175001
JEPI,Origin,175001
MTSC,Origin,175001
KRNT,Origin,175001
FTEC,Origin,175001
VPU,Origin,172504
NHI,Origin,172007
HUYA,Origin,172007
GMLP,Origin,169512
SPGI,Origin,169015
PEP,Origin,168518
ZM,Origin,164006
SKYY,Origin,162505
DUK,Origin,161511
KKR,Origin,161511
ESI,Origin,161511
SCHW,Origin,160517
ZBRA,Origin,156005
USB,Origin,155508
EXAS,Origin,155011
AZO,Origin,153510
APD,Origin,153013
BAC,Origin,153013
TGT,Origin,153013
LBRDK,Origin,150002
ABC,Origin,150002
TCEHY,Origin,147507
HUM,Origin,145509
MCD,Origin,145509
GM,Origin,140511
CLF,Origin,140003
UPLD,Origin,140003
RIO,Origin,139506
VUZI,Origin,139506
BIDU,Origin,139506
WM,Origin,137508
AMAT,Origin,137508
INTU,Origin,137011
ICE,Origin,137011
BA,Origin,137011
BLK,Origin,136514
OKE,Origin,136514
NSRGY,Origin,136514
IBM,Origin,136017
TMUS,Origin,131516
AAGIY,Origin,131505
LBRDA,Origin,131008
SDY,Origin,130004
OLP,Origin,128513
GS,Origin,128513
ABEV,Origin,123504
SBGSY,Origin,123504
TLRY,Origin,123504
TSM,Origin,123007
BLL,Origin,123007
ACGL,Origin,121506
LRCX,Origin,121506
IR,Origin,121506
USMC,Origin,121506
PM,Origin,121009
SYY,Origin,121009
CHWY,Origin,121009
PTON,Origin,121009
F,Origin,120512
DIA,Origin,120512
SH,Origin,119014
PRGS,Origin,115503
BXMT,Origin,115503
ITW,Origin,115503
GIS,Origin,115006
HLT,Origin,115006
W,Origin,113505
PNC,Origin,113505
ADM,Origin,113505
UPS,Origin,113008
BMY,Origin,113008
LNT,Origin,113008
PPL,Origin,112511
WBA,Origin,112511
GE,Origin,112511
SHW,Origin,112511
IFNNY,Origin,107502
PTC,Origin,107502
KIDS,Origin,107502
FHLC,Origin,107502
LYG,Origin,107502
DHR,Origin,107005
CHTR,Origin,107005
PWR,Origin,107005
BYND,Origin,107005
DRI,Origin,105504
ERIC,Origin,105504
ATVI,Origin,105007
ALXN,Origin,105007
TT,Origin,104510
LOW,Origin,104013
DRE,Origin,99004
KMI,Origin,99004
RDS.B,Origin,99004
FIS,Origin,98511
BKEP,Origin,97503
PH,Origin,97006
CTRL,Origin,97006
CSCO,Origin,96509
DD,Origin,96012
CCI,Origin,96012
PPG,Origin,96012
SNAP,Origin,96012
CG,Origin,91003
FMX,Origin,91003
ABB,Origin,91003
ANIK,Origin,91003
SLB,Origin,89005
CMG,Origin,89005
WCC,Origin,89005
SPOT,Origin,89005
CLX,Origin,89005
ANTM,Origin,88508
QCOM,Origin,88508
AMGN,Origin,88508
SNV,Origin,88508
LW,Origin,88508
PLNT,Origin,88508
NKE,Origin,88011
BDX,Origin,88011
HQY,Origin,88011
ROP,Origin,88011
ETN,Origin,88011
GILD,Origin,88011
SSNC,Origin,88011
SNE,Origin,88011
PSQ,Origin,85512
DBSDY,Origin,83002
LCGFX,Origin,83002
BBH,Origin,83002
SSL,Origin,83002
XLV,Origin,83002
BCS,Origin,83002
JAPAY,Origin,83002
NTOIY,Origin,83002
SCGLY,Origin,83002
FSKAX,Origin,83002
ASGN,Origin,83002
GLD,Origin,82005
ILPT,Origin,81004
NVT,Origin,81004
APPL,Origin,81004
KMTUY,Origin,81004
AEP,Origin,81004
LMND,Origin,81004
FNF,Origin,81004
ALb,Origin,81004
UHG,Origin,81004
AIG,Origin,80507
SO,Origin,80507
UNP,Origin,80507
UAL,Origin,80507
KR,Origin,80010
KMX,Origin,80010
CVET,Origin,80010
PFFV,Origin,75001
VRP,Origin,75001
CXW,Origin,75001
RF$A,Origin,75001
AGCO,Origin,75001
FPEI,Origin,75001
CWB,Origin,75001
TDC,Origin,75001
VONE,Origin,75001
WLTL,Origin,75001
SCHH,Origin,75001
HCSG,Origin,75001
TBBC,Origin,75001
FBALX,Origin,75001
ACSAY,Origin,75001
AHKSY,Origin,75001
GLPEY,Origin,75001
ARCB,Origin,75001
FDIS,Origin,75001
FSP,Origin,75001
OWCIX,Origin,75001
SPCE,Origin,74004
CAG,Origin,73003
TSN,Origin,73003
AI,Origin,73003
VMW,Origin,73003
CSL,Origin,73003
FIKMX,Origin,73003
IVV,Origin,73003
NBIX,Origin,73003
NTDOY,Origin,73003
BTI,Origin,73003
TDOC,Origin,72506
VRSK,Origin,72506
PLXS,Origin,72506
DEO,Origin,72506
RHHBY,Origin,72506
DVN,Origin,72506
BAX,Origin,72506
LUKOY,Origin,72506
SYF,Origin,72506
NOW,Origin,72506
MMLP,Origin,72506
SMLP,Origin,72506
AMRC,Origin,72506
DECK,Origin,72506
ABMD,Origin,72506
RXT,Origin,72506
DOW,Origin,72506
CME,Origin,72009
MET,Origin,72009
AMT,Origin,72009
PHG,Origin,72009
OWLSX,Origin,65002
CNI,Origin,65002
AIQUY,Origin,65002
DUK$A,Origin,65002
FLO,Origin,65002
FDN,Origin,65002
SSB,Origin,65002
BTC-USD,Origin,65002
HRL,Origin,65002
TF,Origin,65002
LGI,Origin,65002
ANZBY,Origin,65002
KMB,Origin,64505
ICUI,Origin,64505
AVY,Origin,64505
ZTS,Origin,64505
PNGAY,Origin,64505
TOL,Origin,64505
CACI,Origin,64505
QQQ,Origin,64505
CARR,Origin,64505
CDNA,Origin,64505
CMLFU,Origin,64505
MDLZ,Origin,64505
IRM,Origin,64505
UBS,Origin,64505
IAU,Origin,64505
FCEL,Origin,64505
PLUG,Origin,64505
BP,Origin,64008
NWN,Origin,64008
CTSH,Origin,64008
REGN,Origin,64008
CCL,Origin,64008
ILMN,Origin,64008
TFC,Origin,64008
BXS,Origin,64008
CYRX,Origin,64008
HMN,Origin,64008
NVS,Origin,64008
FANUF,Origin,64008
NXPI,Origin,64008
DEACU,Origin,60018
COLD,Origin,57505
KTOS,Origin,57015
SCI,Origin,56504
J,Origin,56504
BBVA,Origin,56504
CHGCY,Origin,56504
KUBTY,Origin,56504
MSI,Origin,56504
LPLA,Origin,56504
VTR,Origin,56504
MTBC,Origin,56504
RIVN,Origin,56504
FAS,Origin,56504
ADSK,Origin,56504
CSX,Origin,56504
CDAY,Origin,56504
BMRN,Origin,56504
GLW,Origin,56504
AMTX,Origin,56504
KPLT,Origin,56504
CNC,Origin,56007
USFD,Origin,56007
CL,Origin,56007
CBOE,Origin,56007
PHR,Origin,56007
BIIB,Origin,56007
DLTR,Origin,56007
AON,Origin,56007
ALLY,Origin,56007
EBS,Origin,56007
MKL,Origin,56007
CRY,Origin,56007
DAVA,Origin,56007
RUN,Origin,51009
AZN,Origin,49504
GBTC,Origin,48503
CSGP,Origin,48503
MCRN,Origin,48503
RPM,Origin,48503
KRE,Origin,48503
BBY,Origin,48503
CHKP,Origin,48503
NVR,Origin,48503
SEE,Origin,48503
SGSOY,Origin,48503
TSCO,Origin,48503
VXX,Origin,48503
QDEL,Origin,48503
EPOKY,Origin,48503
IJR,Origin,48503
ZUO,Origin,48503
ATASY,Origin,48503
HNDL,Origin,48503
HAE,Origin,48006
ASML,Origin,48006
ISRG,Origin,48006
SABR,Origin,48006
NDAQ,Origin,48006
VRT,Origin,48006
FISV,Origin,48006
DLR,Origin,48006
LHX,Origin,48006
PLD,Origin,48006
SAP,Origin,48006
REYN,Origin,48006
KHC,Origin,48006
TRNO,Origin,48006
DKNG,Origin,48006
ELAN,Origin,48006
FLIR,Origin,48006
CWEN.A,Origin,48006
VIAV,Origin,48006
CSLT,Origin,48006
ECL,Origin,42007
SCU,Origin,40502
PKG,Origin,40502
NVZMY,Origin,40502
SONVY,Origin,40502
IFF,Origin,40502
LHCG,Origin,40502
TTEK,Origin,40502
RHI,Origin,40502
POL,Origin,40502
MFC,Origin,40502
DPSGY,Origin,40502
AFRM,Origin,40502
EVBG,Origin,40502
ADDYY,Origin,40502
CENT,Origin,40502
NCLH,Origin,40502
IWM,Origin,40502
MPC,Origin,40502
NVCR,Origin,40502
PBA,Origin,40502
NEO,Origin,40502
APHA,Origin,40502
SPDW,Origin,40502
XLF,Origin,40502
XLB,Origin,40502
CS,Origin,40502
GBDC,Origin,40502
IEFA,Origin,40502
SNN,Origin,40502
USO,Origin,40502
DOCU,Origin,40502
R,Origin,40502
VOD,Origin,40502
YEXT,Origin,40502
IJH,Origin,40502
ESGU,Origin,40502
VFC.VI,Origin,40502
CR,Origin,40502
PRSP,Origin,40502
AGESY,Origin,40502
CRZBY,Origin,40502
CMWAY,Origin,40502
IMBBY,Origin,40502
VOPKY,Origin,40502
MDIBY,Origin,40502
TLSNY,Origin,40502
EVVTY,Origin,40502
WIX,Origin,40502
SWK,Origin,40005
BRKS,Origin,40005
CLNE,Origin,40005
BEN,Origin,40005
O,Origin,40005
VIAC,Origin,40005
SBAC,Origin,40005
FLT,Origin,40005
MSCI,Origin,40005
NOC,Origin,40005
SYK,Origin,40005
HCA,Origin,40005
ZBH,Origin,40005
SU,Origin,40005
NTRS,Origin,40005
MMM,Origin,40005
PPBI,Origin,40005
LLY,Origin,40005
DAIUF,Origin,40005
EDIT,Origin,40005
SPLK,Origin,40005
IT,Origin,40005
WY,Origin,40005
BK,Origin,40005
CVNA,Origin,40005
POR,Origin,40005
BXS$A,Origin,40005
NVVE,Origin,40005
BLDP,Origin,40005
PASO,Origin,40005
PAYC,Origin,32501
ENS,Origin,32501
ALFVY,Origin,32501
ATLKY,Origin,32501
FANUY,Origin,32501
HDB,Origin,32501
IBN,Origin,32501
LZAGY,Origin,32501
SYIEY,Origin,32501
SSMXY,Origin,32501
YNDX,Origin,32501
FPE,Origin,32501
AAWW,Origin,32501
VDC,Origin,32501
PSNL,Origin,32501
HP,Origin,32501
AEG,Origin,32501
BIPC,Origin,32501
DASH,Origin,32501
FEDX,Origin,32501
GOOS,Origin,32501
CATM,Origin,32501
VOO,Origin,32501
BEEM,Origin,32501
CIBR,Origin,32501
PHX,Origin,32501
CMLTU,Origin,32501
ESGC,Origin,32501
TPCO,Origin,32501
CSIQ,Origin,32501
FMAT,Origin,32501
LAND,Origin,32501
TM,Origin,32501
PRGTX,Origin,32501
ORLT,Origin,32501
AD,Origin,32501
LAM,Origin,32501
PRWCX,Origin,32501
FVD,Origin,32501
FSTFX,Origin,32501
VCSH,Origin,32501
HGIIX,Origin,32501
BL,Origin,32501
EVGB,Origin,32501
TDDC,Origin,32501
TLND,Origin,32501
ETV,Origin,32501
DAWC,Origin,32501
CFJIX,Origin,32501
BSIIX,Origin,32501
JSOAX,Origin,32501
TSBRX,Origin,32501
NLG,Origin,32501
CSCCX,Origin,32501
TCOM,Origin,32501
DFREX,Origin,32501
PONPX,Origin,32501
ALPMY,Origin,32501
AVVIY,Origin,32501
BHKLY,Origin,32501
BTLCY,Origin,32501
DTCWY,Origin,32501
JBAXY,Origin,32501
MZDAY,Origin,32501
MITEY,Origin,32501
NSANY,Origin,32501
SVNDY,Origin,32501
SMNNY,Origin,32501
SWRAY,Origin,32501
MRWSY,Origin,32501
EFV,Origin,32501
ISD,Origin,32501
TEVA,Origin,32501
VWDRY,Origin,32501
FINX,Origin,32501
LL,Origin,32501
ITOT,Origin,32501
IPWR,Origin,32501
BASFY,Origin,32501
HTHIY,Origin,32501
MLCO,Origin,32501
NWG,Origin,32501
NTTYY,Origin,32501
OMVKY,Origin,32501
IX,Origin,32501
POAHY,Origin,32501
SKFRY,Origin,32501
SSUMY,Origin,32501
TLSYY,Origin,32501
VONOY,Origin,32501
LOGI,Origin,32501
JEMWX,Origin,32501
KPLTW,Origin,32004
RGLD,Origin,32004
CGNX,Origin,32004
VRSN,Origin,32004
MEDP,Origin,32004
VCYT,Origin,32004
FCFS,Origin,32004
COF,Origin,32004
NCLTY,Origin,32004
CSPCY,Origin,32004
MAR,Origin,32004
NLOK,Origin,32004
DISCA,Origin,32004
TAP,Origin,32004
WRK,Origin,32004
VNT,Origin,32004
MAT,Origin,32004
LESL,Origin,32004
CHX,Origin,32004
CDW,Origin,32004
LVS,Origin,32004
CTAS,Origin,32004
FANG,Origin,32004
EW,Origin,32004
FITB,Origin,32004
LYV,Origin,32004
PSX,Origin,32004
FSLR,Origin,32004
HXL,Origin,32004
FRC,Origin,32004
NSP,Origin,32004
GD,Origin,32004
CHDN,Origin,32004
TFX,Origin,32004
HIG,Origin,32004
L,Origin,32004
IART,Origin,32004
RPD,Origin,32004
CHD,Origin,32004
LDOS,Origin,32004
GH,Origin,32004
COP,Origin,32004
UAA,Origin,32004
MELI,Origin,32004
CWK,Origin,32004
VICI,Origin,32004
H,Origin,32004
AKAM,Origin,32004
EA,Origin,32004
APTV,Origin,32004
DNTUY,Origin,32004
MTX,Origin,32004
ROST,Origin,32004
CVI,Origin,32004
SFTBY,Origin,32004
PRAH,Origin,32004
SUPN,Origin,32004
BROS,Origin,32004
SBCF,Origin,32004
LVMUY,Origin,32004
BF.B,Origin,32004
WSTL,Origin,32004
FLR,Origin,32004
DIAL,Origin,32004
MCK,Origin,32004
BE,Origin,32004
BHP,Origin,32004
PS,Origin,32004
PGNY,Origin,32004
VRM,Origin,32004
AQUA,Origin,24003
MAS,Origin,24003
VLO,Origin,24003
WH,Origin,24003
TRV,Origin,24003
WLK,Origin,24003
BURL,Origin,24003
STOR,Origin,24003
STT,Origin,24003
BOOT,Origin,24003
DOMO,Origin,24003
LDNXF,Origin,24003
CNA,Origin,24003
CTXS,Origin,24003
LTD,Origin,24003
TER,Origin,24003
ZNGA,Origin,24003
AZEK,Origin,24003
RLGY,Origin,24003
DFS,Origin,24003
HASI,Origin,24003
ADS,Origin,24003
EQIX,Origin,24003
MOS,Origin,24003
SIVB,Origin,24003
VMC,Origin,24003
STM,Origin,24003
AMP,Origin,24003
KEYS,Origin,24003
PFGC,Origin,24003
WDC,Origin,24003
IVZ,Origin,24003
SJM,Origin,24003
UBSI,Origin,24003
ENPH,Origin,24003
SGEN,Origin,24003
DAL,Origin,24003
ABNB,Origin,24003
OCFC,Origin,24003
TPR,Origin,24003
CZR,Origin,24003
CCC,Origin,24003
COMM,Origin,24003
LITE,Origin,24003
REZI,Origin,24003
HBI,Origin,24003
HOLX,Origin,24003
BR,Origin,24003
VEA,Origin,24003
ATO,Origin,24003
TDY,Origin,24003
XNGSY,Origin,24003
HPQ,Origin,24003
JEF,Origin,24003
ON,Origin,24003
PRU,Origin,24003
PTEN,Origin,24003
EMKR,Origin,24003
NTLA,Origin,24003
PENN,Origin,24003
ADC,Origin,24003
ABCB,Origin,24003
HALO,Origin,24003
EBSB,Origin,24003
POST,Origin,24003
MTB,Origin,24003
BLDr,Origin,24003
FOUR,Origin,24003
AEIS,Origin,24003
DOGE-USD,Origin,24003
MRNA,Origin,24003
SPXC,Origin,24003
PBCT,Origin,24003
GFL,Origin,24003
KAI,Origin,24003
YETI,Origin,24003
ALLE,Origin,24003
SPR,Origin,24003
NGG,Origin,24003
QMCO,Origin,24003
ADA-USD,Origin,24003
TFDXX,Origin,24003
JIH,Origin,20013
OLED,Origin,18004
VSLR,Origin,18004
WCN,Origin,17003
VIASP,Origin,16002
BHC,Origin,16002
BAH,Origin,16002
CTLT,Origin,16002
DPZ,Origin,16002
LKQ,Origin,16002
QSR,Origin,16002
WAB,Origin,16002
VTRS,Origin,16002
CI,Origin,16002
BKR,Origin,16002
FE,Origin,16002
HSIC,Origin,16002
WSO,Origin,16002
KLAC,Origin,16002
ULTA,Origin,16002
HES,Origin,16002
CARG,Origin,16002
CSTL,Origin,16002
CCMP,Origin,16002
SITE,Origin,16002
AIT,Origin,16002
EXPD,Origin,16002
CCEP,Origin,16002
PATK,Origin,16002
ACI,Origin,16002
CCXX,Origin,16002
RSG,Origin,16002
PEAK,Origin,16002
CFG,Origin,16002
FNV,Origin,16002
BKI,Origin,16002
BIAWX,Origin,16002
ALIZY,Origin,16002
ETSY,Origin,16002
LCRX,Origin,16002
MTDR,Origin,16002
SAIC,Origin,16002
INFO,Origin,16002
WSM,Origin,16002
GT,Origin,16002
SVC,Origin,16002
GO,Origin,16002
TEAM,Origin,16002
DIN,Origin,16002
MNST,Origin,16002
EXPE,Origin,16002
LULU,Origin,16002
LYB,Origin,16002
MCHP,Origin,16002
TRU,Origin,16002
WYND,Origin,16002
SKIN,Origin,16002
ARCC,Origin,16002
AFL,Origin,16002
DGX,Origin,16002
MDY,Origin,16002
FTDR,Origin,16002
ARMK,Origin,16002
BFAM,Origin,16002
EFX,Origin,16002
FEYE,Origin,16002
FMC,Origin,16002
PII,Origin,16002
PHM,Origin,16002
SIRI,Origin,16002
WDAY,Origin,16002
CNP,Origin,16002
CMA,Origin,16002
DTE,Origin,16002
FLS,Origin,16002
PSA,Origin,16002
GPRO,Origin,16002
TGNA,Origin,16002
UA,Origin,16002
CTL,Origin,16002
M,Origin,16002
SKY,Origin,16002
IEMG,Origin,16002
MDYG,Origin,16002
FUND,Origin,16002
CGC,Origin,16002
GOLD,Origin,16002
NRG,Origin,16002
SVNLY,Origin,16002
TEX,Origin,16002
ANET,Origin,16002
TDG,Origin,16002
SAM,Origin,16002
MDB,Origin,16002
LEA,Origin,16002
BLUE,Origin,16002
ETR,Origin,16002
TRUP,Origin,16002
CMP,Origin,16002
HSHCY,Origin,16002
HLIO,Origin,16002
ED,Origin,16002
